ActivityDate,Calories,TotalIntensity
2016-03-12,76810,11.571969696969697
2016-03-13,75093,11.387626262626263
2016-03-14,73433,10.069444444444445
2016-03-15,74640,10.964646464646465
2016-03-16,76178,11.714646464646465
2016-03-17,75331,11.378787878787879
2016-03-18,74619,10.914141414141413
2016-03-19,70996,9.031565656565656
2016-03-20,70860,8.934343434343434
2016-03-21,69441,8.28661616161616
2016-03-22,71602,9.093434343434344
2016-03-23,72642,9.968434343434344
2016-03-24,71699,9.542929292929292
2016-03-25,69925,8.546717171717171
2016-03-26,72813,9.69949494949495
2016-03-27,75067,10.309343434343434
2016-03-28,75726,10.738636363636363
2016-03-29,75484,10.376262626262626
2016-03-30,75507,10.559343434343434
2016-03-31,76734,11.546717171717171
2016-04-01,76118,11.407828282828282
2016-04-02,77267,12.253503184713376
2016-04-03,72278,11.009114583333334
2016-04-04,73369,11.65234375
2016-04-05,77085,12.711538461538462
2016-04-06,76543,12.8359375
2016-04-07,75202,12.345052083333334
2016-04-08,73921,12.180026281208935
2016-04-09,67519,13.261695906432749
2016-04-10,57965,11.340872374798062
2016-04-11,54275,11.828125
2016-04-12,14177,6.771428571428571
