Hour,AvgCalories,AvgIntensity
0,72.40156709108717,2.405484818805093
1,69.60626836434868,1.3202742409402546
2,68.12438785504408,0.7600391772771793
3,67.55937193326791,0.5466143277723258
4,67.77013752455795,0.5776031434184676
5,77.99803343166175,3.8397246804326453
6,80.82185039370079,5.536417322834645
7,90.59861932938855,9.612426035502958
8,98.03857566765579,12.708209693372899
9,106.34653465346534,15.24851485148515
10,106.39260739260739,15.892107892107893
11,108.22868605817452,16.633901705115345
12,113.5793172690763,18.54317269076305
13,108.55321285140562,16.285140562248998
14,111.43373493975903,17.019076305220885
15,105.69748743718593,14.985929648241205
16,110.27236180904522,16.439195979899498
17,112.29879275653923,17.809859154929576
18,115.16414904330313,18.520644511581068
19,116.32829808660624,19.24773413897281
20,104.26337033299697,14.924318869828456
21,92.55802219979819,10.338042381432896
22,84.80909090909091,7.406060606060606
23,76.99898785425101,4.57085020242915
